member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,issue_dt,expr_dt,corp_no,prev_balance,curr_balance,member_code
1797,CHEN,NMFLUBRTDJIEAD, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.377,2000-12-10 10:41:55.377,NULL,0.00,0.00,  
1798,DORR,SHVQBNFYHP, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.387,2000-12-10 10:41:55.387,347,0.00,0.00,  
1799,EFLIN,WIFMCXOJEWLBTL, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.387,2000-12-10 10:41:55.387,NULL,0.00,0.00,  
1800,FLORINI,YFSWMBMLXRUXC, , , ,  ,  ,          , ,1999-10-13 10:41:55.397,2000-12-10 10:41:55.397,NULL,0.00,0.00,  
1801,GOHAN,EXDRPJYDEANJES, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.397,2000-12-10 10:41:55.397,NULL,0.00,0.00,  
1802,HAHN,EBCF, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.407,2000-12-10 10:41:55.407,NULL,0.00,0.00,  
1803,INFANTE,EFWNXWYGDEO, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.407,2000-12-10 10:41:55.407,161,0.00,0.00,  
1804,JONES,EOJGOKEFARRTLH, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.417,2000-12-10 10:41:55.417,328,0.00,0.00,  
1805,KAHRMANN,EUBIXGBKVONQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.417,2000-12-10 10:41:55.417,NULL,0.00,0.00,  
1806,LING,XURKQODQTWXOPU, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.427,2000-12-10 10:41:55.427,NULL,0.00,0.00,  
1807,MAKAI,XMRZTWAGKBL, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.427,2000-12-10 10:41:55.427,NULL,0.00,0.00,  
1808,NELSON,YRLFGYELXUSKSX, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.437,2000-12-10 10:41:55.437,NULL,0.00,0.00,  
1809,OLPHANT,KLVXF, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.437,2000-12-10 10:41:55.437,NULL,0.00,0.00,  
1810,PAYNTER,PRVLRG, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.457,2000-12-10 10:41:55.457,NULL,0.00,0.00,  
1811,QUINT,GOUYXCILQGIIL, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.457,2000-12-10 10:41:55.457,NULL,0.00,0.00,  
1812,RYAN,CFYF, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.467,2000-12-10 10:41:55.467,156,0.00,0.00,  
1813,STEIN,VFHFHUVEUGYQUB, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.467,2000-12-10 10:41:55.467,NULL,0.00,0.00,  
1814,TOLSKY,NDBRVRDUBRAFJU, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.477,2000-12-10 10:41:55.477,NULL,0.00,0.00,  
1815,UNAKLET,DWUSAJXTJTHVKV, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.477,2000-12-10 10:41:55.477,362,0.00,0.00,  
1816,VANN,QANCROZWPHDWVS, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.487,2000-12-10 10:41:55.487,NULL,0.00,0.00,  
1817,WOLFMULE,WLRCYBMUJFXLOT, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.487,2000-12-10 10:41:55.487,399,0.00,0.00,  
1818,XAVIER,WYOOXLTUBLCDRR, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.497,2000-12-10 10:41:55.497,332,0.00,0.00,  
1819,YEONG,FKTWRD, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.497,2000-12-10 10:41:55.497,37,0.00,0.00,  
1820,ZUCKER,TMZV, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.507,2000-12-10 10:41:55.507,497,0.00,0.00,  
1821,ANDERSON,DHCSDKL, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.687,2000-12-10 10:41:55.687,NULL,0.00,0.00,  
1822,BARR,YHVGPNRQRIOLEC, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.697,2000-12-10 10:41:55.697,NULL,0.00,0.00,  
1823,CHEN,EZKFC, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.697,2000-12-10 10:41:55.697,NULL,0.00,0.00,  
1824,DORR,ALVXESSIFJMLQJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.707,2000-12-10 10:41:55.707,NULL,0.00,0.00,  
1825,EFLIN,QKHMCKNAD, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.707,2000-12-10 10:41:55.707,NULL,0.00,0.00,  
1826,FLORINI,ELEYWTDSBTWYTL, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.717,2000-12-10 10:41:55.717,NULL,0.00,0.00,  
1827,GOHAN,ZTKJLDRLRLHDYM, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.727,2000-12-10 10:41:55.727,NULL,0.00,0.00,  
1828,HAHN,OMFZIUBNRIUZMY, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.727,2000-12-10 10:41:55.727,324,0.00,0.00,  
1829,INFANTE,VCXRLYKOJJNLZ, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.737,2000-12-10 10:41:55.737,NULL,0.00,0.00,  
1830,JONES,USQNLCPQWS, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.737,2000-12-10 10:41:55.737,NULL,0.00,0.00,  
1831,KAHRMANN,HXJJQLBXUBVRVN, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.737,2000-12-10 10:41:55.737,NULL,0.00,0.00,  
1832,LING,DDMITKSTZKEE, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.747,2000-12-10 10:41:55.747,NULL,0.00,0.00,  
1833,MAKAI,IRWIEIZPUBQQEK, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.757,2000-12-10 10:41:55.757,113,0.00,0.00,  
1834,NELSON,QHUVTRZVBCKDFG, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.757,2000-12-10 10:41:55.757,NULL,0.00,0.00,  
1835,OLPHANT,FSUXRBLZREOVHV, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.767,2000-12-10 10:41:55.767,NULL,0.00,0.00,  
1836,PAYNTER,JTTODDDCQYMJPI, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.767,2000-12-10 10:41:55.767,408,0.00,0.00,  
1837,QUINT,HMHOEEIEXQQ, , , ,  ,  ,          , ,1999-10-13 10:41:55.777,2000-12-10 10:41:55.777,NULL,0.00,0.00,  
1838,RYAN,YMVTFFUGZVKLPW, , , ,  ,  ,          , ,1999-10-13 10:41:55.777,2000-12-10 10:41:55.777,384,0.00,0.00,  
1839,STEIN,NKF, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.787,2000-12-10 10:41:55.787,NULL,0.00,0.00,  
1840,TOLSKY,BDTUVNVLRKURNF, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.787,2000-12-10 10:41:55.787,NULL,0.00,0.00,  
1841,UNAKLET,VTQYO, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.797,2000-12-10 10:41:55.797,NULL,0.00,0.00,  
1842,VANN,REVICKURCDVBTC, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.797,2000-12-10 10:41:55.797,NULL,0.00,0.00,  
1843,WOLFMULE,REZTXVNZHMMREG, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.807,2000-12-10 10:41:55.807,NULL,0.00,0.00,  
1844,XAVIER,HGLTHPDXGXTYJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.807,2000-12-10 10:41:55.807,NULL,0.00,0.00,  
1845,YEONG,IQNWLUDNOCZNUU, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.817,2000-12-10 10:41:55.817,307,0.00,0.00,  
1846,ZUCKER,WPRSRDIC, , , ,  ,  ,          ,             ,1999-10-13 10:41:55.817,2000-12-10 10:41:55.817,NULL,0.00,0.00,  
1847,ANDERSON,OSUMEEILMVXBUU, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.007,2000-12-10 10:41:56.007,187,0.00,0.00,  
1848,BARR,SUYLVLAYCQEYSG, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.007,2000-12-10 10:41:56.007,NULL,0.00,0.00,  
1849,CHEN,UTUITNLOYUVQIU, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.017,2000-12-10 10:41:56.017,NULL,0.00,0.00,  
1850,DORR,LCNHGGXPBBMLMM, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.037,2000-12-10 10:41:56.037,481,0.00,0.00,  
1851,EFLIN,IYKIKUJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.037,2000-12-10 10:41:56.037,NULL,0.00,0.00,  
1852,FLORINI,OOLPJRWHJFJJI, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.047,2000-12-10 10:41:56.047,NULL,0.00,0.00,  
1853,GOHAN,RADNHHCNMQHQPE, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.047,2000-12-10 10:41:56.047,335,0.00,0.00,  
1854,HAHN,CGVWKFLBQWKD, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.057,2000-12-10 10:41:56.057,372,0.00,0.00,  
1855,INFANTE,THWLJTDQKPA, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.057,2000-12-10 10:41:56.057,NULL,0.00,0.00,  
1856,JONES,RHGEXBUJY, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.067,2000-12-10 10:41:56.067,NULL,0.00,0.00,  
1857,KAHRMANN,UVYXDRDDS, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.067,2000-12-10 10:41:56.067,NULL,0.00,0.00,  
1858,LING,UPEBVKMAJXTSD, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.067,2000-12-10 10:41:56.067,NULL,0.00,0.00,  
1859,MAKAI,UFLYGWOFBOJHOD, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.077,2000-12-10 10:41:56.077,NULL,0.00,0.00,  
1860,NELSON,BNWNGZBGUOYKBG, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.087,2000-12-10 10:41:56.087,NULL,0.00,0.00,  
1861,OLPHANT,GJNWPYUIWEUJYE, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.087,2000-12-10 10:41:56.087,NULL,0.00,0.00,  
1862,PAYNTER,NVUKFZXY, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.097,2000-12-10 10:41:56.097,NULL,0.00,0.00,  
1863,QUINT,LYPPFFRHE, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.097,2000-12-10 10:41:56.097,NULL,0.00,0.00,  
1864,RYAN,LTVLOHCHDFGDO, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.097,2000-12-10 10:41:56.097,NULL,0.00,0.00,  
1865,STEIN,LNATKTGYGLSHHL, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.107,2000-12-10 10:41:56.107,231,0.00,0.00,  
1866,TOLSKY,XOJYEDADBLKIBC, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.107,2000-12-10 10:41:56.107,NULL,0.00,0.00,  
1867,UNAKLET,NVYCFMJCMGQJUH, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.117,2000-12-10 10:41:56.117,NULL,0.00,0.00,  
1868,VANN,XPKDWEWDIPOXBV, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.137,2000-12-10 10:41:56.137,NULL,0.00,0.00,  
1869,WOLFMULE,KXFLHKFYTPWXLM, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.147,2000-12-10 10:41:56.147,NULL,0.00,0.00,  
1870,XAVIER,SBRMBVXYHATDGY, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.157,2000-12-10 10:41:56.157,NULL,0.00,0.00,  
1871,YEONG,UBAQY, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.157,2000-12-10 10:41:56.157,NULL,0.00,0.00,  
1872,ZUCKER,UJHH, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.157,2000-12-10 10:41:56.157,NULL,0.00,0.00,  
1873,ANDERSON,DJEVXKKNCOBKW, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.367,2000-12-10 10:41:56.367,462,0.00,0.00,  
1874,BARR,GWLONLCQAJJGGW, , , ,  ,  ,          , ,1999-10-13 10:41:56.377,2000-12-10 10:41:56.377,NULL,0.00,0.00,  
1875,CHEN,GIQYWKUM, , , ,  ,  ,          , ,1999-10-13 10:41:56.377,2000-12-10 10:41:56.377,NULL,0.00,0.00,  
1876,DORR,VXKDXMFJIDDL, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.377,2000-12-10 10:41:56.377,NULL,0.00,0.00,  
1877,EFLIN,IOB, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.387,2000-12-10 10:41:56.387,NULL,0.00,0.00,  
1878,FLORINI,WOIGPRPFFXXIDF, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.387,2000-12-10 10:41:56.387,NULL,0.00,0.00,  
1879,GOHAN,AITOSTUKXWAMHY, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.400,2000-12-10 10:41:56.400,485,0.00,0.00,  
1880,HAHN,EQSYRDRYAAZGVS, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.400,2000-12-10 10:41:56.400,NULL,0.00,0.00,  
1881,INFANTE,CLHQJX, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.410,2000-12-10 10:41:56.410,NULL,0.00,0.00,  
1882,JONES,CVFQDVICFPGEKX, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.410,2000-12-10 10:41:56.410,NULL,0.00,0.00,  
1883,KAHRMANN,SDLPNFCTOXTPJE, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.420,2000-12-10 10:41:56.420,NULL,0.00,0.00,  
1884,LING,ECWFGEFSWDJCCU, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.420,2000-12-10 10:41:56.420,NULL,0.00,0.00,  
1885,MAKAI,RMKPAEWUD, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.430,2000-12-10 10:41:56.430,NULL,0.00,0.00,  
1886,NELSON,NNUBJBYTOFEDGP, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.430,2000-12-10 10:41:56.430,450,0.00,0.00,  
1887,OLPHANT,WHJCVNYMYXYBXJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.440,2000-12-10 10:41:56.440,332,0.00,0.00,  
1888,PAYNTER,APSWNNXXJLFZDV, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.440,2000-12-10 10:41:56.440,NULL,0.00,0.00,  
1889,QUINT,PTBMLOPLKJCOKX, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.450,2000-12-10 10:41:56.450,NULL,0.00,0.00,  
1890,RYAN,SHXQR, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.450,2000-12-10 10:41:56.450,NULL,0.00,0.00,  
1891,STEIN,TXXFOUSJSRVMHP, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.460,2000-12-10 10:41:56.460,NULL,0.00,0.00,  
1892,TOLSKY,EULCNSTOQUDSIQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.460,2000-12-10 10:41:56.460,NULL,0.00,0.00,  
1893,UNAKLET,BKQYEFX, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.470,2000-12-10 10:41:56.470,NULL,0.00,0.00,  
1894,VANN,FRTCRMHWL, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.470,2000-12-10 10:41:56.470,NULL,0.00,0.00,  
1895,WOLFMULE,MPOMYGJTCJY, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.480,2000-12-10 10:41:56.480,NULL,0.00,0.00,  
1896,XAVIER,OKEVJXUKPQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.480,2000-12-10 10:41:56.480,NULL,0.00,0.00,  
1897,YEONG,BBFOSRVKSQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.490,2000-12-10 10:41:56.490,NULL,0.00,0.00,  
1898,ZUCKER,EXYIHFRD, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.490,2000-12-10 10:41:56.490,NULL,0.00,0.00,  
1899,ANDERSON,YKPBLIMGPJDUAJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.680,2000-12-10 10:41:56.680,NULL,0.00,0.00,  
1900,BARR,WKSPW, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.680,2000-12-10 10:41:56.680,NULL,0.00,0.00,  
1901,CHEN,QTRXD, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.690,2000-12-10 10:41:56.690,NULL,0.00,0.00,  
1902,DORR,TCBHFXDWOD, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.690,2000-12-10 10:41:56.690,NULL,0.00,0.00,  
1903,EFLIN,KBENUVRFCLQVMB, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.700,2000-12-10 10:41:56.700,NULL,0.00,0.00,  
1904,FLORINI,OBBMGUHSLQPT, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.700,2000-12-10 10:41:56.700,NULL,0.00,0.00,  
1905,GOHAN,GCNUSMFJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.710,2000-12-10 10:41:56.710,NULL,0.00,0.00,  
1906,HAHN,QLXBWHFXDJANQO, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.710,2000-12-10 10:41:56.710,NULL,0.00,0.00,  
1907,INFANTE,QJTXRIOEQRRMQP, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.720,2000-12-10 10:41:56.720,NULL,0.00,0.00,  
1908,JONES,OLYNLAREVGIBLJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.730,2000-12-10 10:41:56.730,NULL,0.00,0.00,  
1909,KAHRMANN,IRYQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.730,2000-12-10 10:41:56.730,NULL,0.00,0.00,  
1910,LING,OXCL, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.730,2000-12-10 10:41:56.730,NULL,0.00,0.00,  
1911,MAKAI,KXUEKMQFQRVDPP, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.740,2000-12-10 10:41:56.740,NULL,0.00,0.00,  
1912,NELSON,WOPQKWJJ, , , ,  ,  ,          , ,1999-10-13 10:41:56.740,2000-12-10 10:41:56.740,NULL,0.00,0.00,  
1913,OLPHANT,WHMJRMJJHFSEU, , , ,  ,  ,          , ,1999-10-13 10:41:56.750,2000-12-10 10:41:56.750,479,0.00,0.00,  
1914,PAYNTER,VGLUUVIIOGP, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.750,2000-12-10 10:41:56.750,NULL,0.00,0.00,  
1915,QUINT,GOFQFJEEH, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.760,2000-12-10 10:41:56.760,NULL,0.00,0.00,  
1916,RYAN,YHOSHPKNULEYZD, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.760,2000-12-10 10:41:56.760,NULL,0.00,0.00,  
1917,STEIN,ODUQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.770,2000-12-10 10:41:56.770,NULL,0.00,0.00,  
1918,TOLSKY,YOHEIVS, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.770,2000-12-10 10:41:56.770,NULL,0.00,0.00,  
1919,UNAKLET,YMHFSBGUIHOE, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.780,2000-12-10 10:41:56.780,NULL,0.00,0.00,  
1920,VANN,FHGYUTYWPUTEEL, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.780,2000-12-10 10:41:56.780,NULL,0.00,0.00,  
1921,WOLFMULE,NQIWUJYS, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.790,2000-12-10 10:41:56.790,NULL,0.00,0.00,  
1922,XAVIER,GQQNJHGWKI, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.790,2000-12-10 10:41:56.790,NULL,0.00,0.00,  
1923,YEONG,BMFIEDCXFNBXJI, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.800,2000-12-10 10:41:56.800,446,0.00,0.00,  
1924,ZUCKER,OIN, , , ,  ,  ,          ,             ,1999-10-13 10:41:56.800,2000-12-10 10:41:56.800,NULL,0.00,0.00,  
1925,ANDERSON,GRBCTOQIHRR, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.000,2000-12-10 10:41:57.000,NULL,0.00,0.00,  
1926,BARR,ZPZLCOQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.010,2000-12-10 10:41:57.010,NULL,0.00,0.00,  
1927,CHEN,SHOCJBLDGR, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.010,2000-12-10 10:41:57.010,NULL,0.00,0.00,  
1928,DORR,PTMBIEHLJKZVHO, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.020,2000-12-10 10:41:57.020,NULL,0.00,0.00,  
1929,EFLIN,KPBKCWTWQNEHZH, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.020,2000-12-10 10:41:57.020,NULL,0.00,0.00,  
1930,FLORINI,CZQPOYN, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.020,2000-12-10 10:41:57.020,NULL,0.00,0.00,  
1931,GOHAN,GJTAXKWJMNUCSC, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.030,2000-12-10 10:41:57.030,NULL,0.00,0.00,  
1932,HAHN,UDTMFT, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.040,2000-12-10 10:41:57.040,NULL,0.00,0.00,  
1933,INFANTE,VYNLZBPHTHVCNR, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.040,2000-12-10 10:41:57.040,464,0.00,0.00,  
1934,JONES,VSBVYBPUTMKDTG, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.050,2000-12-10 10:41:57.050,NULL,0.00,0.00,  
1935,KAHRMANN,FQRGYCMGSLYBDM, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.050,2000-12-10 10:41:57.050,NULL,0.00,0.00,  
1936,LING,OWEUXTJFI, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.060,2000-12-10 10:41:57.060,NULL,0.00,0.00,  
1937,MAKAI,UVJSOJFORO, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.060,2000-12-10 10:41:57.060,NULL,0.00,0.00,  
1938,NELSON,XEOX, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.060,2000-12-10 10:41:57.060,NULL,0.00,0.00,  
1939,OLPHANT,MWIC, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.070,2000-12-10 10:41:57.070,NULL,0.00,0.00,  
1940,PAYNTER,GDAAOWQRPMGW, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.070,2000-12-10 10:41:57.070,NULL,0.00,0.00,  
1941,QUINT,GKBFNRPWTFGMAB, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.080,2000-12-10 10:41:57.080,NULL,0.00,0.00,  
1942,RYAN,DPVKJJZWJFEWUK, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.080,2000-12-10 10:41:57.080,NULL,0.00,0.00,  
1943,STEIN,PPIIXMEBCDFXWD, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.090,2000-12-10 10:41:57.090,NULL,0.00,0.00,  
1944,TOLSKY,WVYNFHNQVKODVW, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.090,2000-12-10 10:41:57.090,287,0.00,0.00,  
1945,UNAKLET,ZCSWITKZNCEL, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.100,2000-12-10 10:41:57.100,NULL,0.00,0.00,  
1946,VANN,WTVNFF, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.100,2000-12-10 10:41:57.100,NULL,0.00,0.00,  
1947,WOLFMULE,BBWCRE, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.110,2000-12-10 10:41:57.110,451,0.00,0.00,  
1948,XAVIER,KMLXBBH, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.110,2000-12-10 10:41:57.110,NULL,0.00,0.00,  
1949,YEONG,CKDWIXOBCSEBCH, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.120,2000-12-10 10:41:57.120,NULL,0.00,0.00,  
1950,ZUCKER,YRQOKYRBG, , , ,  ,  ,          , ,1999-10-13 10:41:57.120,2000-12-10 10:41:57.120,NULL,0.00,0.00,  
1951,ANDERSON,TGONWGSVFV, , , ,  ,  ,          , ,1999-10-13 10:41:57.320,2000-12-10 10:41:57.320,NULL,0.00,0.00,  
1952,BARR,ZHHVNVOIDJQSGL, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.330,2000-12-10 10:41:57.330,NULL,0.00,0.00,  
1953,CHEN,MEBWQIEHYNWEBM, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.330,2000-12-10 10:41:57.330,NULL,0.00,0.00,  
1954,DORR,LHWQOOU, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.340,2000-12-10 10:41:57.340,NULL,0.00,0.00,  
1955,EFLIN,WIG, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.340,2000-12-10 10:41:57.340,NULL,0.00,0.00,  
1956,FLORINI,CSTLETGCXWUOWY, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.350,2000-12-10 10:41:57.350,NULL,0.00,0.00,  
1957,GOHAN,HJIYTPNN, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.350,2000-12-10 10:41:57.350,NULL,0.00,0.00,  
1958,HAHN,NNTE, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.360,2000-12-10 10:41:57.360,NULL,0.00,0.00,  
1959,INFANTE,NCMSGIRQYFUGFB, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.360,2000-12-10 10:41:57.360,NULL,0.00,0.00,  
1960,JONES,UZPFYMYGC, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.360,2000-12-10 10:41:57.360,NULL,0.00,0.00,  
1961,KAHRMANN,VWGHFEPZEWSFBR, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.370,2000-12-10 10:41:57.370,NULL,0.00,0.00,  
1962,LING,PKIXSWIGOLQYB, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.380,2000-12-10 10:41:57.380,NULL,0.00,0.00,  
1963,MAKAI,RSXPKK, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.380,2000-12-10 10:41:57.380,NULL,0.00,0.00,  
1964,NELSON,PFYESDHFSGBUEZ, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.380,2000-12-10 10:41:57.380,221,0.00,0.00,  
1965,OLPHANT,HOPXVNQWYHU, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.390,2000-12-10 10:41:57.390,NULL,0.00,0.00,  
1966,PAYNTER,ZXKZYTRB, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.390,2000-12-10 10:41:57.390,NULL,0.00,0.00,  
1967,QUINT,DXQGFK, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.400,2000-12-10 10:41:57.400,468,0.00,0.00,  
1968,RYAN,LGJT, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.400,2000-12-10 10:41:57.400,NULL,0.00,0.00,  
1969,STEIN,BMSDCVXZLRWCRQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:57.410,2000-12-10 10:41:57.410,NULL,0.00,0.00,  
